Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
07:49:18:21.221,61,0.0000000000,0.0094300499,0.1074518412,0.0000000000,0.0000000000,0.2934448421,0.1649704129,0.0000000000,0.0094743259,0.0093653081,0.0000000000,0.0000000000,0.2935666442,0.1652643532,0.0777031183,0.0055442420,0.0000000000,0.0926841274,0.1128371805,0.0731949806,0.1079095975,0.0235685259,0.0000000000,0.3485451341,0.3539378345,0.0000000000,0.0000000000,0.0390625931,0.0406157561,0.0942790210,0.0910102502,0.1597856432,0.0449417494,0.1631165296,0.0998170599,0.0926954970,0.0957695022,0.2344257534,0.2116723210,0.0410803668,0.0388043150,0.3555251658,0.3552385271,0.0241661333,0.0000000000,0.0000000000,0.0406551771,0.1928161830,0.2006909996,0.2284563035,0.2157297432,0.0000000035,0.0000000000,0.0000000000,0.0000000000,-0.0057208450,0.0057876315,-0.0000331103,0.0656374991,0.0057729203,0.0003786523
07:49:18:22.222,61,0.0000000000,0.0191833116,0.1149122044,0.0000000000,0.0000000000,0.3023315668,0.1650861949,0.0000000000,0.0192546546,0.0018880898,0.0000000000,0.0000000000,0.3024303615,0.1653627902,0.0896698087,0.0015224295,0.0000000000,0.1068694144,0.1217342913,0.0787870586,0.0866886601,0.0232769772,0.0000000000,0.4573113620,0.4715866745,0.0000000000,0.0000000000,0.0415138938,0.0447831750,0.0983552411,0.0950055346,0.1090109870,0.0480188653,0.1412262768,0.0908133239,0.0775990412,0.0802703574,0.3480724692,0.3291335404,0.0937864557,0.0933702439,0.3061537445,0.3058969080,0.0258375052,0.0000000000,0.0000000000,0.0324318931,0.2643676698,0.2785885930,0.2379471958,0.2329773605,0.0000000033,0.0000000000,0.0000000000,0.0000000000,-0.0011532886,0.0117620081,-0.0000135656,0.0701910555,0.0117473453,0.0008239195
07:49:18:23.224,61,0.0000000000,0.0317330956,0.1229367331,0.0000000000,0.0000000000,0.3053266108,0.1633052826,0.0000000000,0.0318464376,0.0000000000,0.0061517586,0.0000000000,0.3054165840,0.1635256559,0.1048567593,0.0000000000,0.0002814983,0.1354663670,0.1104796529,0.0813114643,0.0620702840,0.0232533570,0.0000000000,0.5685843229,0.5794116259,0.0000000000,0.0000000000,0.0525991991,0.0586884059,0.1011844724,0.0975205675,0.0955598280,0.0493085049,0.1275041848,0.0862826556,0.0684522092,0.0697880015,0.4224150777,0.4099271595,0.1218504906,0.1199328005,0.2606284022,0.2603236735,0.0277434662,0.0000000000,0.0000000000,0.0264348350,0.2978489995,0.3182435632,0.2425782233,0.2399295568,0.0000000031,0.0000000000,0.0000000000,0.0000000000,0.0037571846,0.0194540191,0.0000731014,0.0750836506,0.0194394235,0.0014583946
07:49:18:24.226,61,0.0000000000,0.0532913506,0.1439727247,0.0000000000,0.0000000000,0.3059164882,0.1613590717,0.0000000000,0.0535142347,0.0000000000,0.0273010042,0.0000000000,0.3059967160,0.1615512967,0.1139495447,0.0000000000,0.0023193937,0.1582685560,0.0787570551,0.0826805979,0.0496080294,0.0232871864,0.0000000000,0.6131221056,0.6226742864,0.0000000000,0.0000000000,0.0618398488,0.0691217557,0.1054252088,0.1019516736,0.0876147076,0.0496388450,0.1180163100,0.0841167867,0.0634827614,0.0640013814,0.4966073036,0.4845947921,0.1861152798,0.1827903539,0.2428058237,0.2424447089,0.0292869173,0.0000000000,0.0000000000,0.0222779885,0.3135741651,0.3356670439,0.2456600368,0.2455348223,0.0000000024,0.0000000000,0.0000000000,0.0000000000,0.0166683234,0.0326945297,0.0005451320,0.0879012272,0.0326800533,0.0028699329
07:49:18:25.228,61,0.0000000000,0.0781977624,0.1587367952,0.0000000000,0.0000000000,0.2884211540,0.1409789920,0.0000000000,0.0785636008,0.0000000000,0.0422431342,0.0000000000,0.2884915471,0.1411509812,0.1233497560,0.0000000000,0.0035101008,0.1665102690,0.0687338933,0.0831438005,0.0435141064,0.0234659873,0.0000000000,0.6707988381,0.6775923967,0.0000000000,0.0000000000,0.0684822127,0.0768716633,0.1094353199,0.1055222973,0.0833229199,0.0494076572,0.1138877422,0.0839087889,0.0610696040,0.0612385496,0.5237010121,0.5122588873,0.2077365667,0.2032687366,0.2251847833,0.2246996015,0.0310185608,0.0000000000,0.0000000000,0.0199370142,0.3235448599,0.3459180593,0.2500470877,0.2526154816,0.0000000014,0.0000000000,0.0000000000,0.0000000000,0.0257751439,0.0480077416,0.0012382204,0.0968558416,0.0479934029,0.0046447106
07:49:18:26.229,61,0.0000000000,0.0909539834,0.1808795482,0.0000000000,0.0000000000,0.2836214602,0.1357132196,0.0000000000,0.0914626867,0.0000000000,0.0647655576,0.0000000000,0.2836858034,0.1358762532,0.1356149167,0.0000000000,0.0042959149,0.1705267578,0.0634266660,0.0820721686,0.0400336012,0.0237050820,0.0000000000,0.7075741291,0.7155031562,0.0000000000,0.0000000000,0.0756851658,0.0846472830,0.1206996813,0.1146678403,0.0810206980,0.0484705530,0.1121826768,0.0873701200,0.0599964485,0.0599425733,0.5431948304,0.5308955312,0.2190692574,0.2139680088,0.2068463266,0.2062215060,0.0334699266,0.0000000000,0.0000000000,0.0184571575,0.3668761849,0.3883026838,0.2582426667,0.2634951770,0.0000000007,0.0000000000,0.0000000000,0.0000000000,0.0395012572,0.0559150428,0.0022104408,0.1103218347,0.0559008233,0.0061609200
07:49:18:27.231,61,0.0000000000,0.1107848436,0.2312748283,0.0000000000,0.0000000000,0.2807745039,0.1298513263,0.0000000000,0.1116379574,0.0000000000,0.1162663996,0.0000000000,0.2808340490,0.1299934238,0.1429008991,0.0000000000,0.0048954734,0.1724479944,0.0604095310,0.0806113705,0.0379369706,0.0241551679,0.0000000000,0.7651246786,0.7684633732,0.0000000000,0.0000000000,0.0867968798,0.0968184918,0.1419505924,0.1336792707,0.0797239318,0.0461953171,0.1130956635,0.0919421762,0.0598663986,0.0596622601,0.5620972514,0.5471364856,0.2438551635,0.2320882678,0.1904097497,0.1896864474,0.0361047983,0.0000000000,0.0000000000,0.0174547024,0.3845399618,0.4040013552,0.2693106532,0.2745924890,0.0000000007,0.0000000000,0.0000000000,0.0000000000,0.0708577260,0.0683675706,0.0048478367,0.1409521997,0.0683535412,0.0096173976
07:49:18:28.233,61,0.0000000000,0.1252022088,0.2333543748,0.0000000000,0.0000000000,0.2709887922,0.1241311133,0.0000000000,0.1261739582,0.0000000000,0.1183130369,0.0000000000,0.2710275650,0.1242750213,0.1459265500,0.0000000000,0.0051217107,0.1731138080,0.0586825013,0.0792802349,0.0366485678,0.0246918350,0.0000000000,0.7840325236,0.7863705158,0.0000000000,0.0000000000,0.0919585079,0.1023455486,0.1486759186,0.1396675706,0.0786838159,0.0439066812,0.1135059223,0.0937579200,0.0602091849,0.0598470792,0.5707106590,0.5547336340,0.2520134151,0.2385663688,0.1786691099,0.1777726114,0.0378625989,0.0000000000,0.0000000000,0.0167172067,0.3925536573,0.4113596082,0.2732805312,0.2793679833,0.0000000011,0.0000000000,0.0000000000,0.0000000000,0.0720583797,0.0772762299,0.0055746255,0.1421285272,0.0772622675,0.0109656295
07:49:18:29.234,61,0.0000000000,0.1373131275,0.2600460649,0.0000000000,0.0000000000,0.2602682412,0.1158213839,0.0000000000,0.1385294497,0.0000000000,0.1458349079,0.0000000000,0.2602888644,0.1159569323,0.1474038810,0.0000000000,0.0054847603,0.1713101268,0.0575545095,0.0764600933,0.0357574746,0.0252168905,0.0000000000,0.7940587401,0.7960074544,0.0000000000,0.0000000000,0.0951639563,0.1060180292,0.1521427929,0.1428260505,0.0778146759,0.0420641080,0.1139693409,0.0948956907,0.0611335784,0.0603871420,0.5786201358,0.5618525147,0.2562946379,0.2420733273,0.1687195748,0.1676902920,0.0392816439,0.0000000000,0.0000000000,0.0161370002,0.3964881897,0.4146804512,0.2754087746,0.2819034457,0.0000000021,0.0000000000,0.0000000000,0.0000000000,0.0887658522,0.0849581137,0.0075495094,0.1582898647,0.0849442855,0.0134212337
07:49:18:30.236,61,0.0000000000,0.1437969804,0.2559566796,0.0000000000,0.0000000000,0.2543437779,0.1116536707,0.0000000000,0.1450453550,0.0000000000,0.1415062547,0.0000000000,0.2543545365,0.1117866263,0.1499130875,0.0000000000,0.0057387445,0.1706025600,0.0568066947,0.0729392320,0.0350934677,0.0257710926,0.0000000000,0.8037131429,0.8070940971,0.0000000000,0.0000000000,0.1007097363,0.1119584218,0.1569535136,0.1475545615,0.0772283152,0.0406432785,0.1152232960,0.0958691090,0.0645467564,0.0630602911,0.5948570967,0.5763890147,0.2594544291,0.2452215403,0.1615864336,0.1604271680,0.0404362492,0.0000000000,0.0000000000,0.0156948566,0.3988329768,0.4163770974,0.2779296637,0.2854709625,0.0000000025,0.0000000000,0.0000000000,0.0000000000,0.0861013308,0.0889334828,0.0076679103,0.1557473093,0.0889196694,0.0138286613
